Nov 03 07:37:59.749 VTTY: Console port: waiting connection on tcp port 5002 for protocol IPv6 (FD 10)
Nov 03 07:37:59.749 VTTY: Console port: waiting connection on tcp port 5002 for protocol IPv4 (FD 11)
Nov 03 07:37:59.751 slot0: C/H/S settings = 0/4/32
Nov 03 07:37:59.751 slot1: C/H/S settings = 0/4/32
Nov 03 07:37:59.977 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x60a80f7c,JIT on)
Nov 03 07:37:59.978 CPU0: CPU_STATE: Starting CPU (old state=2)...
Nov 03 07:38:00.150 ROM: Microcode has started.
Nov 03 07:38:00.153 ROM: trying to read bootvar 'WARM_REBOOT'
Nov 03 07:38:00.154 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80a76f68 (size=1)
Nov 03 07:38:00.154 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80a76f7c (size=1)
Nov 03 07:38:00.183 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6023fca4 (size=2)
Nov 03 07:38:00.183 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x602475a0 (size=2)
Nov 03 07:38:00.183 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x602475b0 (size=2)
Nov 03 07:38:00.183 ROM: unhandled syscall 0x00000047 at pc=0x60a786fc (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Nov 03 07:38:00.419 ROM: trying to read bootvar 'RANDOM_NUM'
Nov 03 07:38:00.430 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x60254a54 (size=2)
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00040100) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x18
Nov 03 07:38:00.431 PCI: PCI bridge 0,1,0 -> pri: 00, sec: 01, sub: 04
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x1c
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x02801f00) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x1c
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x20
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x4d704d00) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x20
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x24
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00014d01) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x24
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x30
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00200020) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x30
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x3c
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x03000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x3c
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x40
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x40
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x64
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x64
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x68
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000000) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x68
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0x04
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000007) for device 'ti2050b' at pc=0x60257860: bus=0,device=1,function=0,reg=0x04
Nov 03 07:38:00.431 CPU0: PCI: write request (data=0x00000001) for device 'ti2050b' at pc=0x60257854: bus=0,device=1,function=0,reg=0xf0
